분류,경로,이름,Q1,Q2,상태,비고,PR,완료일
09-national,09-national/other/SP-NAT-OTHER-KOFAC2_v1.1.md,SP-NAT-OTHER-KOFAC2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KAHPA_v1.1.md,SP-NAT-OTHER-KAHPA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NILE_v1.1.md,SP-NAT-OTHER-NILE_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIDS_v1.1.md,SP-NAT-OTHER-KIDS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KATO2_v1.1.md,SP-NAT-OTHER-KATO2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KICJ_v1.1.md,SP-NAT-OTHER-KICJ_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NODONG_v1.1.md,SP-NAT-OTHER-NODONG_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOFAIR_v1.1.md,SP-NAT-OTHER-KOFAIR_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KINFA_v1.1.md,SP-NAT-OTHER-KINFA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KSOC_v1.1.md,SP-NAT-OTHER-KSOC_v1.1,Y,N,미착수,,,
